Perioden;Totaal online aankopen;Kleding of sportartikelen ;Boeken, tijdschriften en kranten ;Soft-/ hardware en elektronische benodig;Huishoudelijke goederen en apparaten
2012;64;31,2;22,9;12,8;15,8
2013;68;36,7;27,5;16,6;18,2
2014;69,7;40,5;28,7;18,3;23,2
2015;70;42,4;28,2;24,8;23,9
2016;73,3;47,9;29,1;26,1;28,6
2017;76,3;52;29,6;28,9;34,9
2018;77,8;55,5;30,5;22,3;38
2019;79,4;55;30,9;30,2;37,5
