Perioden;Totaal online aankopen;Kleding of sportartikelen ;Boeken, tijdschriften en kranten ;Soft-/ hardware en elektronische benodig;Huishoudelijke goederen en apparaten
2012;66,4;27,2;22,1;18,8;17,5
2013;71,5;32,6;26,4;23,5;19,5
2014;73,2;36,9;28,8;26,5;24,6
2015;72,3;39,2;29,2;36,5;26,1
2016;75,7;45,5;27,4;35,9;29,9
2017;78,9;49,1;28,8;39,9;39,5
2018;80,3;53,8;29,8;30,8;41,2
2019;81,9;52,9;30,5;41,7;42,6
